,source,target,fraction,source_description,target_description,contingency
0,ST,AA,0.007594936708861,Make a declarative statement.,Answer in the affirmative to yes/no question.,0
1,ST,AP,0.015189873417722,Make a declarative statement.,Agree with proposition or proposal expressed by previous speaker,0
2,ST,MK,0.027848101265823,Make a declarative statement.,Mark occurrence of event (thank greet apologize congratulate etc.).,1
3,ST,OO,0.129113924050633,Make a declarative statement.,Unintelligible vocalization.,0
4,ST,PF,0.015189873417722,Make a declarative statement.,Prohibit/forbid/protest hearer's performance of an act,1
5,ST,PR,0.032911392405063,Make a declarative statement.,Perform verbal move in game.,1
6,ST,RP,0.010126582278481,Make a declarative statement.,Request propose or suggest an action for hearer or for hearer and speaker.,1
7,ST,RT,0.058227848101266,Make a declarative statement.,Repeat or imitate other's utterance.,1
8,ST,ST,0.032911392405063,Make a declarative statement.,Make a declarative statement.,1
9,ST,TO,0.040506329113924,Make a declarative statement.,Mark transfer of object to hearer,1
10,ST,YY,0.630379746835443,Make a declarative statement.,Make a word-like utterance without clear function.,0
11,YA,AA,0.230769230769231,Answer a question with a yes/no question.,Answer in the affirmative to yes/no question.,1
12,YA,YY,0.769230769230769,Answer a question with a yes/no question.,Make a word-like utterance without clear function.,0
13,YQ,AA,0.119047619047619,Ask a yes/no question.,Answer in the affirmative to yes/no question.,1
14,YQ,AN,0.035714285714286,Ask a yes/no question.,Answer in the negative to yes/no question,1
15,YQ,MK,0.029761904761905,Ask a yes/no question.,Mark occurrence of event (thank greet apologize congratulate etc.).,0
16,YQ,OO,0.083333333333333,Ask a yes/no question.,Unintelligible vocalization.,0
17,YQ,PR,0.023809523809524,Ask a yes/no question.,Perform verbal move in game.,0
18,YQ,RP,0.017857142857143,Ask a yes/no question.,Request propose or suggest an action for hearer or for hearer and speaker.,0
19,YQ,RT,0.017857142857143,Ask a yes/no question.,Repeat or imitate other's utterance.,0
20,YQ,ST,0.035714285714286,Ask a yes/no question.,Make a declarative statement.,0
21,YQ,TO,0.047619047619048,Ask a yes/no question.,Mark transfer of object to hearer,0
22,YQ,YY,0.589285714285714,Ask a yes/no question.,Make a word-like utterance without clear function.,0
23,RP,AD,0.014051522248244,Request propose or suggest an action for hearer or for hearer and speaker.,Agree to carry out an act requested or proposed by other.,1
24,RP,MK,0.030444964871194,Request propose or suggest an action for hearer or for hearer and speaker.,Mark occurrence of event (thank greet apologize congratulate etc.).,0
25,RP,OO,0.112412177985949,Request propose or suggest an action for hearer or for hearer and speaker.,Unintelligible vocalization.,0
26,RP,PF,0.039812646370024,Request propose or suggest an action for hearer or for hearer and speaker.,Prohibit/forbid/protest hearer's performance of an act,1
27,RP,PR,0.007025761124122,Request propose or suggest an action for hearer or for hearer and speaker.,Perform verbal move in game.,1
28,RP,RD,0.053864168618267,Request propose or suggest an action for hearer or for hearer and speaker.,Refuse to carry out an act requested or proposed by other.,1
29,RP,RP,0.014051522248244,Request propose or suggest an action for hearer or for hearer and speaker.,Request propose or suggest an action for hearer or for hearer and speaker.,0
30,RP,ST,0.02576112412178,Request propose or suggest an action for hearer or for hearer and speaker.,Make a declarative statement.,0
31,RP,TO,0.030444964871194,Request propose or suggest an action for hearer or for hearer and speaker.,Mark transfer of object to hearer,0
32,RP,YY,0.672131147540984,Request propose or suggest an action for hearer or for hearer and speaker.,Make a word-like utterance without clear function.,0
33,RQ,AD,0.074626865671642,Yes/no question or suggestion about hearer's wishes and intentions,Agree to carry out an act requested or proposed by other.,0
34,RQ,OO,0.08955223880597,Yes/no question or suggestion about hearer's wishes and intentions,Unintelligible vocalization.,0
35,RQ,PF,0.022388059701493,Yes/no question or suggestion about hearer's wishes and intentions,Prohibit/forbid/protest hearer's performance of an act,0
36,RQ,RD,0.097014925373134,Yes/no question or suggestion about hearer's wishes and intentions,Refuse to carry out an act requested or proposed by other.,0
37,RQ,ST,0.029850746268657,Yes/no question or suggestion about hearer's wishes and intentions,Make a declarative statement.,0
38,RQ,YY,0.686567164179104,Yes/no question or suggestion about hearer's wishes and intentions,Make a word-like utterance without clear function.,0
39,MK,MK,0.061855670103093,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark occurrence of event (thank greet apologize congratulate etc.).,1
40,MK,OO,0.11340206185567,Mark occurrence of event (thank greet apologize congratulate etc.).,Unintelligible vocalization.,0
41,MK,PF,0.036082474226804,Mark occurrence of event (thank greet apologize congratulate etc.).,Prohibit/forbid/protest hearer's performance of an act,1
42,MK,RP,0.025773195876289,Mark occurrence of event (thank greet apologize congratulate etc.).,Request propose or suggest an action for hearer or for hearer and speaker.,1
43,MK,RT,0.020618556701031,Mark occurrence of event (thank greet apologize congratulate etc.).,Repeat or imitate other's utterance.,1
44,MK,ST,0.025773195876289,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a declarative statement.,1
45,MK,TO,0.030927835051546,Mark occurrence of event (thank greet apologize congratulate etc.).,Mark transfer of object to hearer,1
46,MK,YY,0.685567010309278,Mark occurrence of event (thank greet apologize congratulate etc.).,Make a word-like utterance without clear function.,0
47,PF,MK,0.044943820224719,Prohibit/forbid/protest hearer's performance of an act,Mark occurrence of event (thank greet apologize congratulate etc.).,1
48,PF,OO,0.089887640449438,Prohibit/forbid/protest hearer's performance of an act,Unintelligible vocalization.,0
49,PF,PF,0.157303370786517,Prohibit/forbid/protest hearer's performance of an act,Prohibit/forbid/protest hearer's performance of an act,0
50,PF,RD,0.033707865168539,Prohibit/forbid/protest hearer's performance of an act,Refuse to carry out an act requested or proposed by other.,0
51,PF,RT,0.033707865168539,Prohibit/forbid/protest hearer's performance of an act,Repeat or imitate other's utterance.,1
52,PF,ST,0.033707865168539,Prohibit/forbid/protest hearer's performance of an act,Make a declarative statement.,1
53,PF,YY,0.606741573033708,Prohibit/forbid/protest hearer's performance of an act,Make a word-like utterance without clear function.,0
54,QN,MK,0.014619883040936,Ask a product-question (wh-question),Mark occurrence of event (thank greet apologize congratulate etc.).,0
55,QN,OO,0.073099415204678,Ask a product-question (wh-question),Unintelligible vocalization.,0
56,QN,PF,0.008771929824561,Ask a product-question (wh-question),Prohibit/forbid/protest hearer's performance of an act,0
57,QN,PR,0.017543859649123,Ask a product-question (wh-question),Perform verbal move in game.,0
58,QN,RD,0.014619883040936,Ask a product-question (wh-question),Refuse to carry out an act requested or proposed by other.,0
59,QN,RP,0.02046783625731,Ask a product-question (wh-question),Request propose or suggest an action for hearer or for hearer and speaker.,0
60,QN,RT,0.014619883040936,Ask a product-question (wh-question),Repeat or imitate other's utterance.,0
61,QN,SA,0.204678362573099,Ask a product-question (wh-question),Answer a wh-question with a statement.,1
